193;Methane;CH4;74-82-8;16.042;-6.1572;178.15;-0.95239;-9.0606E-24;10;90.69;2.063E-04;188.00;2.263E-05
194;Methanol;CH4O;67-56-1;32.042;-25.317;1789.2;2.069;;;175.47;1.193E-02;337.85;3.442E-04
195;N-Methyl acetamide;C3H7NO;79-16-3;73.094;-4.648;1832;-1.2191;;;301.15;3.995E-03;478.15;2.392E-04
196;Methyl acetate;C3H6O2;79-20-9;74.079;13.557;-187.3;-3.6592;;;250.00;6.135E-04;425.00;1.198E-04
197;Methyl acetylene;C3H4;74-99-7;40.064;-2.8737;301.35;-1.2271;;;170.45;6.045E-04;373.15;8.846E-05
198;Methyl acrylate;C4H6O2;96-33-3;86.089;10.848;75;-3.297;;;275.00;6.126E-04;400.00;1.636E-04
199;Methyl amine;CH5N;74-89-5;31.057;-17.044;1074;0.84203;;;179.69;1.236E-03;273.15;2.275E-04
200;Methyl benzoate;C8H8O2;93-58-3;136.148;-21.971;2267.4;1.4173;;;288.15;2.299E-03;472.65;2.149E-04
201;3-Methyl-1,2-butadiene;C5H8;598-25-4;68.117;-10.481;648.37;-0.041947;;;159.53;1.321E-03;314.00;1.739E-04
202;2-Methylbutane;C5H12;78-78-4;72.149;-12.596;889.11;0.20469;;;150.00;3.542E-03;310.00;1.928E-04
203;2-Methylbutanoic acid;C5H10O2;116-53-0;102.132;-1.035;1048.5;-1.5474;;;298.15;1.774E-03;450.15;2.859E-04
204;3-Methyl-1-butanol;C5H12O;123-51-3;88.148;-25.882;3359.4;1.5787;;;155.95;3.776E+01;404.15;3.051E-04
205;2-Methyl-1-butene;C5H10;563-46-2;70.133;-10.755;705.48;-0.011113;;;135.58;3.675E-03;304.30;2.034E-04
206;2-Methyl-2-butene;C5H10;513-35-9;70.133;-8.4453;639.21;-0.38409;;;139.39;3.164E-03;311.70;1.841E-04
207;2-Methyl-1-butene-3-yne;C5H6;78-80-8;66.101;-3.6585;441.1;-1.0547;;;160.15;1.915E-03;390.15;1.476E-04
208;Methylbutyl ether;C5H12O;628-28-4;88.148;-11.278;949.12;-0.00012343;;;157.48;5.239E-03;343.31;2.006E-04
209;Methylbutyl sulfide;C5H12S;628-29-5;104.214;-10.97;1067.3;-0.017484;;;175.30;6.930E-03;396.58;2.286E-04
